t,d,v,a,l,sens_slope,mk_p,mk_S,tendencia,n_anios_val,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024
44,montevideo,1,0,1114,-0.018509,0.10776,-14,estable,8,0.46774,0.53574,0.48893,0.47318,0.42581,0.36356,0.37065,0.46494
45,montevideo,1,0,1818,-0.003537,0.26551,-10,estable,8,0.11285,0.09741,0.08274,0.06428,0.0644,0.0586,0.09004,0.08995
46,montevideo,1,0,2920,-0.007971,0.00443,-24,degradacion,8,0.07438,0.06658,0.05098,0.06649,0.05076,0.03533,0.01153,0.01923
47,montevideo,1,2,505,0.00241,0.71052,4,estable,8,0.05898,0.0255,0.03328,-0.0005,0.04506,0.04135,0.0368,0.05273
48,montevideo,1,2,1398,0.001206,0.90154,2,estable,8,0.08251,0.02744,0.04406,0.00598,0.05272,0.04936,0.0488,0.05181
49,montevideo,1,0,164,-0.002054,0.10776,-14,estable,8,0.12038,0.08989,0.08054,0.08925,0.08664,0.07982,0.08179,0.08253
50,montevideo,1,2,1029,-0.001361,0.26551,-10,estable,8,0.11326,0.07479,0.07423,0.07457,0.07449,0.06614,0.06842,0.08203
51,montevideo,1,2,1582,-2.2e-05,1.0,0,estable,8,0.11309,0.06441,0.05842,0.06479,0.06442,0.05658,0.06465,0.07401
52,montevideo,1,2,633,-0.000191,1.0,0,estable,8,0.11101,0.06417,0.06615,0.06845,0.06851,0.06041,0.06442,0.08219
53,montevideo,1,1,248,0.004088,0.38648,8,estable,8,0.14584,0.09155,0.10748,0.10026,0.12399,0.10683,0.12832,0.13449
54,montevideo,1,2,5109,-0.001435,0.53619,-6,estable,8,0.12319,0.07236,0.05885,0.06846,0.06843,0.06052,0.06455,0.07241
55,canelones,1,0,431,-0.000758,0.71052,-4,estable,8,0.13534,0.07245,0.06832,0.07255,0.0684,0.0605,0.07205,0.08035
56,canelones,1,2,14847,-0.001152,0.17355,-12,estable,8,0.13695,0.06738,0.05892,0.07424,0.06647,0.05862,0.06669,0.06635
57,canelones,1,0,193,-0.003839,0.26551,-10,estable,8,0.1374,0.06558,0.07671,0.06861,0.05192,0.05976,0.05886,0.06961
58,canelones,1,1,1253,-0.003974,0.01874,-20,degradacion,8,0.14268,0.07431,0.06615,0.0722,0.0661,0.05661,0.05669,0.0594
59,canelones,1,0,1705,0.00164,0.90154,2,estable,8,0.13099,0.00898,0.04489,0.0647,0.06444,0.05657,0.06848,0.06071
60,canelones,1,0,1919,-0.003924,0.00937,-22,degradacion,8,0.14249,0.0822,0.07407,0.07623,0.06651,0.06634,0.07222,0.0589
61,canelones,1,1,1798,-8.7e-05,0.90154,-2,estable,8,0.13089,0.04316,0.05171,0.06668,0.05865,0.06049,0.06042,0.05834
62,canelones,1,2,1989,-3.2e-05,1.0,0,estable,8,0.12955,0.05866,0.05916,0.06671,0.06624,0.06618,0.06671,0.05927
63,canelones,1,2,1043,-0.014697,0.10776,-14,estable,8,0.1151,-0.01365,0.02133,-0.0371,0.05115,0.00512,-0.06087,-0.0457
64,canelones,1,2,1456,-0.001699,0.38648,-8,estable,8,0.13863,0.06851,0.05657,0.07241,0.06051,0.06482,0.06841,0.06069
65,canelones,1,2,2720,0.000729,0.71052,4,estable,8,0.13084,0.04495,0.04504,0.06059,0.0527,0.05644,0.06054,0.05669
66,canelones,1,2,3152,-0.005282,0.71052,-4,estable,8,0.1059,0.04372,-0.0818,-0.0667,0.02788,0.01166,0.03586,0.01202
67,canelones,1,0,1989,4e-06,1.0,0,estable,8,0.12893,0.05797,0.05896,0.05058,0.05859,0.05165,0.0589,0.05908
68,canelones,1,2,1102,-0.000208,0.71052,-4,estable,8,0.1215,0.05885,0.05219,0.06761,0.05893,0.05949,0.05958,0.05877
69,canelones,1,0,219,-0.000131,0.17355,-12,estable,8,0.1268,0.06077,0.06042,0.07574,0.06028,0.06039,0.06437,0.06035
70,canelones,1,2,761,-0.000161,0.17355,-12,estable,8,0.12913,0.05899,0.05846,0.06686,0.05879,0.05861,0.06073,0.05837
71,canelones,1,2,2335,4.8e-05,1.0,0,estable,8,0.11421,0.05118,-0.05131,0.03678,0.05191,0.051,0.05117,0.05177
72,canelones,1,2,264,-0.002054,0.71052,-4,estable,8,0.11578,-0.05078,0.0488,0.04508,0.04549,0.04164,0.03637,0.05293
73,canelones,1,0,450,-0.001617,0.71052,-4,estable,8,0.12691,0.05891,0.05069,0.06824,0.05668,0.06884,0.06077,0.05809
74,canelones,1,0,495,-0.003439,0.38648,-8,estable,8,0.12681,0.05631,0.02465,0.03653,0.04951,0.04558,0.05288,0.02473
75,canelones,1,0,242,-0.001042,0.10776,-14,estable,8,0.12739,0.05731,0.04338,0.05666,0.05682,0.05294,0.05264,0.0527
76,canelones,1,0,498,-6e-05,0.71052,-4,estable,8,0.11945,0.04928,0.02555,0.02776,0.04464,0.0492,0.0491,0.04879
77,canelones,1,2,1556,-0.001172,0.71052,-4,estable,8,0.11932,0.04885,0.03712,0.05671,0.05293,0.05068,0.04929,0.05289
78,canelones,1,2,400,-0.000261,0.90154,-2,estable,8,0.1222,0.04896,0.04526,0.05964,0.04799,0.04777,0.0518,0.05247
