t,d,v,a,l,Veg_cat1,Veg_cat2,Veg_cat3,Veg_valor,Veg_prioridad,Veg_exoticas,Zona_Borthagaray,Conect_Borthagaray,lon_wgs84,lat_wgs84
309,san josé,1,0,844,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-56.65086506737438,-34.71851007738747
310,san josé,2,0,3011,Agua,Agua,,,Sitio a restaurar - rural,,,,-56.67093934789448,-34.71307009617483
311,san josé,1,0,759,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-56.69096515385174,-34.70885196593094
312,san josé,2,0,402,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-56.71101456366438,-34.70525346356864
313,san josé,2,0,1681,Agua,Agua,,,Sitio a restaurar - urbano,,,,-56.76119922710579,-34.69686076555265
314,san josé,1,0,5587,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,,,-56.800350719276196,-34.69087274306983
315,san josé,1,0,1500,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-56.83297104556354,-34.67716605409264
316,san josé,2,0,3041,Herbazal,Herbazal halofito,,,Sitio a restaurar - urbano,,,,-56.855942323572926,-34.66841136492212
317,san josé,1,0,7360,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-56.89976641384695,-34.64281821281272
318,san josé,2,0,8814,Herbazal,Campo natural,,,Sitio a restaurar - rural,,,,-56.96015356948494,-34.59044397242518
319,san josé,1,0,14150,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,III,Sitio a conservar,,,,-57.05118635319307,-34.522346952088114
320,san josé,2,0,5289,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.11987786503864,-34.45834374721966
321,colonia,1,0,3268,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.219046265894534,-34.43787270259099
322,colonia,1,0,1715,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.28370404688971,-34.43603490670722
323,colonia,1,0,14241,Agua,Agua,,,Sitio a restaurar - rural,,,,-57.363816963767476,-34.43439241264507
324,colonia,2,0,986,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-57.45132874056384,-34.429903402833865
325,colonia,2,0,587,Bosque,Bosque psamofilo,,III,Sitio a conservar,Si,,,-57.46611932855058,-34.42674212404549
326,colonia,1,0,6715,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.50034109798794,-34.43751110309471
327,colonia,3,0,3952,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-57.546599510834376,-34.44783236441933
328,colonia,1,0,1515,Herbazal,Herbazal halofito,,,Sitio a restaurar - rural,,,,-57.5649596407497,-34.4322477168124
329,colonia,2,0,1518,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.612583611838915,-34.42802825921453
330,colonia,1,0,1684,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.62952454102443,-34.433579910289176
331,colonia,1,0,1232,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-57.643775660588354,-34.438302072371044
332,colonia,1,0,2076,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.660087764950205,-34.44310926383642
333,colonia,3,0,176,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.67091432941426,-34.447832180895595
334,colonia,3,0,61,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.66968175343166,-34.448004803463924
335,colonia,3,0,352,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-57.67325883139199,-34.447070281340515
336,colonia,1,0,4132,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.69558332245287,-34.451930146363296
337,colonia,3,0,1413,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-57.72159135031955,-34.46119229048084
338,colonia,1,0,3852,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.74253099299811,-34.4593399971366
339,colonia,3,0,2300,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.77022433348616,-34.469995556920374
340,colonia,1,0,2332,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.78943132215521,-34.46765617673832
341,colonia,3,0,1365,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - urbano,,,,-57.80800304534047,-34.47162317567687
342,colonia,1,0,329,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.81684271541131,-34.471649594708865
343,colonia,3,0,923,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - urbano,,,,-57.82611986141611,-34.47434972638933
344,colonia,1,0,71,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.832559999918104,-34.47300000067099
345,colonia,3,0,315,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.83461607093753,-34.47324680222606
346,colonia,3,0,4001,Herbazal,Campo natural,,,Sitio a restaurar - urbano,,,,-57.84867732904034,-34.4696003066036
347,colonia,1,0,3466,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - urbano,,,,-57.893128186809285,-34.416847520492645
348,colonia,2,0,7492,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.90568335713052,-34.36861115042402
349,colonia,2,0,5798,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - rural,,,,-57.963641358331486,-34.298452322922614
350,colonia,1,0,3169,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - rural,,,,-57.93637593421669,-34.33094688750952
351,colonia,1,0,13770,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,,,-58.03353449683219,-34.24164045677339
352,colonia,2,0,13080,Agua,Agua,,,Sitio a restaurar - rural,,,,-58.126803464503446,-34.17412995534114
353,colonia,1,0,5457,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,,,-58.213164677503016,-34.15385177555246
354,colonia,2,0,9842,Agua,Agua,,,Sitio a restaurar - rural,,,,-58.227114364584175,-34.09148113581299
355,colonia,1,0,6224,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-58.276348706775714,-34.03277628938089
356,colonia,1,0,3487,Agua,Agua,,,Sitio a restaurar - urbano,,,,-58.31787798775781,-33.98266044375456
357,colonia,1,0,1048,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,,,-58.34168322572838,-33.96417338734735
358,colonia,1,0,2832,Agua,Agua,,,Sitio a restaurar - urbano,,,,-58.37737416621461,-33.944374499233845
359,colonia,3,0,1811,Agua,Agua,,,Sitio a restaurar - urbano,,,,-58.394556036320935,-33.93154558013371
